重复组号,重复条数,涉及景点数,评论内容,涉及景点,评论编号列表
11,23,12,值得一去的地方,《文成公主》大型史诗剧、世界柏树王园林、噶丹松赞林寺、墨石公园景区、大昭寺、巴松措、康定木格措景区、松赞林景区、珠峰景区、稻城亚丁、纳木措景区、香格里拉巴拉格宗风景名胜区,703982392、210671651、163979052、233572949、213033171、188399128、181865089、762527270、226694546、216228027、682775409、224458032、179345397、179345384、181803662、803605643、766503627、203399729、181087985、169692244、179345410、179345399、767809141
12,23,14,不错不错不错,亚丁村、噶丹松赞林寺、墨石公园景区、大昭寺、奇林峡风景区、巴松措、布达拉宫、康定木格措景区、措木及日、松赞林景区、珠峰景区、稻城亚丁、纳木措景区、香格里拉巴拉格宗风景名胜区,175780835、805459285、230375937、219297520、784637498、217889106、171239174、178260358、772150905、218847623、215808720、784474909、179728765、195475855、165525381、800331638、197579292、181769731、208776723、189499297、173026414、799978705、171680537
13,23,15,非常值得一去,《文成公主》大型史诗剧、世界柏树王园林、南迦巴瓦峰、噶丹松赞林寺、大昭寺、巴塘措普沟景区、巴松措、布达拉宫、康定木格措景区、普达措国家公园、松赞林景区、稻城亚丁、纳木措景区、羊卓雍错、虎跳峡(香格里拉段),218656789、215861332、178841661、230897248、205095479、171672159、170787548、416151373、230905732、164914144、798737689、224085499、226323861、224974345、175175899、228066364、219210923、212787450、212787429、223807935、170981517、225793072、185874606
14,19,12,值得一去。,南迦巴瓦峰、噶丹松赞林寺、大昭寺、巴塘措普沟景区、布达拉宫、普达措国家公园、来古冰川、松赞林景区、纳木措景区、羊卓雍错、雅鲁藏布大峡谷、香格里拉巴拉格宗风景名胜区,193604384、165170783、669521924、169784338、666614110、226462902、217643735、197475972、180516827、778834400、726870145、221945305、166911536、165696841、223462254、223462191、166230804、191996771、182613936
15,18,11,景色非常美,南迦巴瓦峰、巴塘措普沟景区、巴松措、康定木格措景区、木雅圣地景区、珠峰大本营、稻城亚丁、纳木措国家公园、纳木措圣象天门、纳木措景区、鲁朗林海,171950021、801433459、707999286、663650961、634744804、170842901、205002078、199986921、167615690、227716623、781945011、187979156、187979142、187979128、180730878、235523863、779430429、237425882
16,18,11,很好很好很好,噶丹松赞林寺、墨石公园景区、大昭寺、巴松措、布达拉宫、康定木格措景区、普达措国家公园、松赞林景区、纳木措国家公园、蓝色天国羊八井地热旅游区、虎跳峡(香格里拉段),753515547、217774089、168029311、168029310、176051100、219081430、171978211、163339053、230698987、220037889、807698249、783396314、731204188、184005991、171837520、669250485、181508660、178577419
17,17,12,值得一去！,南迦巴瓦峰、噶丹松赞林寺、大昭寺、布达拉宫、康定木格措景区、松赞林景区、石卡雪山、稻城亚丁、纳木措国家公园、纳木措景区、羊卓雍错、虎跳峡(香格里拉段),235334324、200332203、180007492、167514962、227038785、207644991、203404146、235323495、235323453、220022979、181351272、217621209、165040195、165848190、707809474、167181861、789571357
18,16,12,景色不错，有趣好玩，,《文成公主》大型史诗剧、亚丁村、噶丹松赞林寺、大昭寺、布达拉宫、康定木格措景区、普达措国家公园、木雅圣地景区、石卡雪山、纳木措景区、羊卓雍错、雨崩村,166606953、165789268、164305259、164089029、164050161、164037022、165505933、165020111、166326367、166022668、166782680、166140719、166369351、164813893、163610370、166210520
19,15,12,值得去看看,大昭寺、布达拉宫、康定木格措景区、普达措国家公园、松赞林景区、珠峰大本营、白水台、石卡雪山、纳木措景区、羊卓雍错、虎跳峡(香格里拉段)、香格里拉巴拉格宗风景名胜区,748375111、787633001、681660295、222510408、227310581、230843096、631880306、782202576、217624107、182021787、722532917、210427953、715054936、215141277、181938170
20,15,8,体验很好，,《文成公主》大型史诗剧、墨石公园景区、大昭寺、布达拉宫、普达措国家公园、纳木措景区、羊卓雍错、香格里拉巴拉格宗风景名胜区,163914290、164604245、163785710、164100184、164549556、163779607、164835864、164523640、164479198、164452711、164440984、163899129、164697614、164095603、163621402
21,15,8,好好好好好好,《亚丁密码》冒险秀、噶丹松赞林寺、墨石公园景区、巴松措、布达拉宫、珠峰大本营、稻城亚丁、雨崩村,181410094、773540496、745442342、745442188、742846448、228293220、227038148、178824528、225735427、212347514、179350223、202705490、242438015、236043900、211425495
22,14,6,很美值得去,南迦巴瓦峰、来古冰川、珠峰大本营、珠峰景区、纳木措圣象天门、纳木措扎西岛,215643233、215711119、215643303、215643149、215643128、215635071、215843790、215643184、215643114、215635043、215643079、215643093、215643219、215643044
23,14,1,旅行在于体验，真心的觉得不错，如果有时间我会再次来到这片土地，我爱这里，,廓琼岗日冰川,163175944、163175927、163175941、163175940、163175937、163175919、163175925、163175932、163175918、163175923、163175917、163175916、163175930、163175920
24,13,11,好好好好好好好,南迦巴瓦峰、噶丹松赞林寺、墨石公园景区、巴塘措普沟景区、布达拉宫、措木及日、来古冰川、珠峰大本营、珠穆朗玛峰、纳木措景区、香格里拉巴拉格宗风景名胜区,802955539、749080466、213795849、215281263、205102829、179350218、705384100、219572949、230859238、230078017、177609886、180958347、179350225
25,13,8,景色不错，总体超赞，,墨石公园景区、大昭寺、康定木格措景区、明永冰川、普达措国家公园、松赞林景区、羊卓雍错、香格里拉巴拉格宗风景名胜区,165876831、165429754、165600922、166503816、166362018、166448484、166443754、165678116、164963407、166649226、166536886、166443739、166369907
26,13,7,体验很好，值得推荐，,大昭寺、布达拉宫、松赞林景区、石卡雪山、羊卓雍错、虎跳峡(香格里拉段)、香格里拉巴拉格宗风景名胜区,164012638、164516288、164159024、164790498、164697380、164551180、164451242、164828719、164727892、164443848、164354216、164117657、163913567
27,13,8,有趣好玩，景色不错，,《文成公主》大型史诗剧、亚丁村、布达拉宫、松赞林景区、滇金丝猴国家公园、纳木措圣象天门、羊卓雍错、香格里拉巴拉格宗风景名胜区,163574389、163574404、163607430、165290930、166712521、165095491、164645123、166570402、166117623、164881817、163610364、166650058、165552086
28,13,7,景色不错，体验很好，值得推荐，有趣好玩，,大昭寺、普达措国家公园、石卡雪山、稻城亚丁、纳木措景区、羊卓雍错、虎跳峡(香格里拉段),163978732、164439221、164254666、163922168、164424471、164167291、163958401、164363454、164470443、163917309、164691811、164508366、164475821
29,12,7,很值得一去,噶丹松赞林寺、大昭寺、巴松措、普达措国家公园、松赞林景区、珠峰大本营、香格里拉巴拉格宗风景名胜区,181801920、165973925、162186643、218084259、170316600、786229662、184390802、178922532、163886652、679126834、673763966、167012078
30,12,6,有趣好玩，,亚丁村、噶丹松赞林寺、大昭寺、布达拉宫、廓琼岗日冰川、香格里拉巴拉格宗风景名胜区,163990432、166819371、164375221、164165411、166723368、166105179、165962989、165918609、165225489、164675274、166455809、164483377
31,12,7,景色很不错,巴塘措普沟景区、巴松措、普达措国家公园、珠峰景区、纳木措国家公园、虎跳峡(香格里拉段)、雅鲁藏布大峡谷,747268131、224252015、640748977、218189833、175002703、773711492、640749222、241593836、218638008、218190288、825834276、538091821
32,11,11,总体来说还不错，推荐大家来看看,仓姑寺、大昭寺、小昭寺、展佛台、扎什伦布寺、第十世班禅大师灵塔祀殿、羊卓雍错、药王山、西藏拉萨清真大寺、西藏纳木错自然保护区-扎西岛寺、驻藏大臣衙门遗址,169867861、169758829、169810393、169725967、169740246、171357085、171357090、171372105、169758984、169758637、169827013
33,11,9,景色非常好,属都湖、巴松措、布达拉宫、普达措国家公园、松赞林景区、稻城亚丁、纳木措景区、羊卓雍错、香格里拉巴拉格宗风景名胜区,227285024、787486631、165380750、226932441、801505020、177645839、227717477、650148983、218716072、177607465、190741279
34,11,7,很值得去的地方,噶丹松赞林寺、大昭寺、巴松措、松赞林景区、纳木措景区、虎跳峡(香格里拉段)、香格里拉巴拉格宗风景名胜区,181876074、228701586、220490754、204952546、217048623、179105839、787201045、674291920、221081337、213154131、179280385
35,11,8,值得推荐，景色不错，,亚丁村、噶丹松赞林寺、巴松措、布达拉宫、普达措国家公园、松赞林景区、纳木措圣象天门、香格里拉巴拉格宗风景名胜区,164050061、163876097、164824192、164645125、164001109、164727890、164804195、164658977、164813848、164337408、164337407
36,11,9,风景非常好,南迦巴瓦峰、噶丹松赞林寺、墨石公园景区、巴松措、康定木格措景区、普达措国家公园、纳木措景区、虎跳峡(香格里拉段)、雅鲁藏布大峡谷,689698521、223310242、633983925、163906812、708879648、707118112、707118343、707118217、222862473、211308105、218518938
37,11,8,性价比不高,《文成公主》大型史诗剧、墨石公园景区、奇林峡风景区、巴松措、康定木格措景区、普达措国家公园、松赞林景区、雅鲁藏布大峡谷,231889715、204894362、183958083、181852218、761031335、171987136、642007423、217991110、170746818、792506352、164560668
38,11,8,可以可以可以,冈仁波齐、噶丹松赞林寺、布达拉宫、康定木格措景区、普达措国家公园、珠峰景区、纳木措景区、虎跳峡(香格里拉段),697587668、788839017、663554550、746408496、687354823、217484072、207817646、642576649、641454563、641454556、195026812
39,11,11,好。。。。。。。。。。。。。。,卡若拉冰川、当惹雍措、拉萨河、措那湖、珠穆朗玛峰、白居寺、纳木措圣象天门、罗布林卡、羊卓雍错、羌塘国家级自然保护区、色林措,170250081、170273048、169288038、169541484、170284051、169995583、169956966、170221369、172740945、170237986、169978511
40,11,6,景区还是非常不错的，在川藏线上算是很不错的景点了，如果以后还来的话，仍然会选择到这里来看看，如果下次能遇见好天气的话，应该会非常出片。,亚丁村、巴塘措普沟景区、巴松措、木雅圣地景区、来古冰川、纳木措景区,179070689、179070706、179070736、179070740、179070760、179070721、179070709、179070752、179070750、179070708、179070713
41,11,1,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,巴松措,222588570、222588521、217552070、217552049、217552000、217551979、217551965、217551930、217551909、217551846、217551818
42,10,7,很棒的体验,噶丹松赞林寺、巴塘措普沟景区、松赞林景区、珠峰景区、藏域星球天文体验馆、虎跳峡(香格里拉段)、雅鲁藏布大峡谷,233408407、697880730、171720177、167619966、181781070、711614457、650040980、226836534、236857125、222621120
43,10,8,非常好的体验,亚拉雪山风景区、巴塘措普沟景区、巴松措、康定木格措景区、普达措国家公园、珠峰景区、纳木措景区、虎跳峡(香格里拉段),701694848、214898034、196349924、196349896、181165424、236856635、196349959、659614873、215228469、215228448
44,10,8,很不错的体验,南迦巴瓦峰、墨石公园景区、大昭寺、巴松措、布达拉宫、松赞林景区、羊卓雍措(羊湖)国际滑翔伞基地、藏域星球天文体验馆,167479111、181408301、178044911、168180815、220429658、224023248、177514571、202861674、169276790、169276781
45,10,4,很好非常好,墨石公园景区、大昭寺、布达拉宫、康定木格措景区,588683439、218357217、216036115、213961154、165520396、788911488、218356790、218356769、218356720、218356587
46,9,8,体验很好，值得推荐，景色不错，有趣好玩，,南迦巴瓦峰、墨石公园景区、康定木格措景区、普达措国家公园、松赞林景区、独克宗古城、纳木措景区、香格里拉巴拉格宗风景名胜区,164755546、163942241、164206433、163877981、164721239、164394137、164109887、163975353、164541103
47,9,8,景色不错，体验很好，值得推荐，,噶丹松赞林寺、普达措国家公园、松赞林景区、稻城亚丁、纳木措圣象天门、羊卓雍错、雅鲁藏布大峡谷、香格里拉巴拉格宗风景名胜区,164323077、163665115、164722807、163600600、164651286、164811009、164585888、164299315、164561060
48,9,9,景色宜人，趣味恒生，性价比高。,《文成公主》大型史诗剧、八廓街、和平解放纪念碑、曲美辛古抗英纪念碑、珠穆朗玛峰、秀色才纳·雪域花谷、过拉卡日、长江第一湾、飞来寺,169250268、170724547、175239387、171660305、168062458、175945691、168744237、166877551、175048161
49,9,8,【景色】 【趣味】 【性价比】不错,小昭寺、月光广场、牛奶海、独克宗古城、独克宗花巷、秀巴千年古堡群、迪庆藏族自治州博物馆、雨崩村,174601438、169264343、169670047、169670046、169264335、169264331、168713572、169264332、169381815
50,9,5,非常好的景点,噶丹松赞林寺、巴松措、康定木格措景区、纳木措景区、虎跳峡(香格里拉段),784840596、653285753、640539768、225873964、225873880、707109887、640540265、172130730、233267294
51,9,4,性价比高，,大昭寺、拉萨日多温泉山庄、木雅圣地景区、蓝色天国羊八井地热旅游区,165938139、165372252、166307864、166697461、166624384、166549648、165459580、165241952、165064572
52,9,6,因为我不想买一个产品都写一堆好评，所以特地写下这个模板。以前不知道评论可以涨分，现在才知道好评的重要性，每条都来评论一下，赚京豆，下次还能抵现金用，评论80字以上，可以得到40个京豆，我无论买什么东西，都会把这条评论复制粘贴凑够字数，这是第n次在网上买东西了，棒棒棒。东西便宜，而且质量好，物美价廉，买的放心，用的开心，感觉都买上瘾，买买买，根本停不下来，东西品种多，而且又特别全，划算方便，包装很好，而且没有任何损坏，会一直支持下去的，服务还可以，超级好吃，好评，下次再来。,《文成公主》大型史诗剧、奇林峡风景区、巴松措、白水台、纳木措景区、羊卓雍错,181288751、181288781、181288541、181288562、181288717、181288235、181288866、181288829、181288236
53,9,6,体验很好，景色不错，,噶丹松赞林寺、大昭寺、布达拉宫、普达措国家公园、松赞林景区、羊卓雍错,164567408、164560837、164651692、164487762、163897636、163737663、163877902、164582583、164433325
54,9,6,体验很好，景色不错，有趣好玩，值得推荐，,大昭寺、布达拉宫、康定木格措景区、普达措国家公园、纳木措景区、羊卓雍错,163933605、163909560、164633414、163786578、163724009、164731556、163848181、164066556、164524339
55,9,5,风景很漂亮,巴塘措普沟景区、巴松措、康定木格措景区、普达措国家公园、纳木措景区,243644703、232292978、223297103、653928199、218399469、176052871、723807344、221303363、790369154
56,9,8,风景很不错,噶丹松赞林寺、墨石公园景区、巴塘措普沟景区、康定木格措景区、普达措国家公园、珠峰景区、稻城亚丁、纳木措景区,227962645、766193303、644055763、183362453、644890541、195922203、679233759、217290578、643660151
57,9,5,风景很美，值得一去,奇林峡风景区、巴塘措普沟景区、普达措国家公园、白水台、稻城亚丁,821638938、821638777、821638693、821638364、821638056、199006557、234198035、753068415、196629322
58,9,1,有趣好玩，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。,格萨尔王城,165698253、165698252、165698250、165692246、165692236、165692234、165692243、165685535、165685533
59,8,8,景色不错，性价比高，总体超赞，,噶丹松赞林寺、大昭寺、布达拉宫、纳木措国家公园、纳木措景区、羊卓雍错、虎跳峡(香格里拉段)、香格里拉巴拉格宗风景名胜区,166333084、166645094、165021916、164958014、166377978、166281591、166281582、164872716
60,8,7,景色不错，性价比高，,噶丹松赞林寺、大昭寺、巴松措、康定木格措景区、格萨尔王城、纳木措景区、香格里拉巴拉格宗风景名胜区,165495426、164869938、166182897、165622538、165798006、166522315、165929725、165293772
61,8,6,值得推荐，景色不错，体验很好，有趣好玩，,《文成公主》大型史诗剧、康定木格措景区、稻城亚丁、纳木措景区、虎跳峡(香格里拉段)、香格里拉巴拉格宗风景名胜区,164063716、164040103、163865182、163853828、164333258、164498610、164702912、164555972
62,8,7,体验很好，景色不错，值得推荐，有趣好玩，,《文成公主》大型史诗剧、布达拉宫、康定木格措景区、普达措国家公园、纳木措景区、雅鲁藏布大峡谷、香格里拉巴拉格宗风景名胜区,163942233、164126772、164746211、164396851、164262666、163743746、164285958、164741482
63,8,8,【景色】不错 【趣味】不错 【性价比】不错,唐蕃古道、奔波寺(蚌普寺)邦坡寺、当惹雍措、甘孜镇、老虎嘴瀑布、色拉寺、阿里暗夜公园、飞来寺,170719831、174790010、165272603、174541754、177686441、171418426、174268651、170266984
64,8,4,非常棒棒哒,珠峰景区、纳木措圣象天门、纳木措景区、雅鲁藏布大峡谷,242636269、242636213、242485727、242635849、242635751、242636101、242485650、242635919
65,8,6,还是可以的,南迦巴瓦峰、墨石公园景区、巴松措、康定木格措景区、纳木措国家公园、西藏博物馆,219300838、670756612、783103574、235916689、228078572、177700954、164623891、168758262
66,8,6,服务非常好,巴松措、布达拉宫、措木及日、珠峰大本营、珠峰景区、虎跳峡(香格里拉段),790157516、219455762、177274566、178239469、219730071、219565004、196811364、196811203
67,8,7,服务态度很好,大昭寺、巴塘措普沟景区、巴松措、珠峰大本营、纳木措景区、罗布林卡、羊卓雍错,217347593、177582773、242853444、193945165、191389857、217776147、175403773、175403756
68,8,6,很好的体验,冈仁波齐、南迦巴瓦峰、巴松措、布达拉宫、纳木措国家公园、纳木措景区,235126970、177760481、780662506、224550369、717504054、163311974、728662712、228191377
69,8,7,体验很好，景色不错，值得推荐，,噶丹松赞林寺、大昭寺、康定木格措景区、普达措国家公园、石卡雪山、纳木措国家公园、纳木措圣象天门,164172289、164567406、164183733、164027892、164565787、164041308、163777282、164264145
70,8,3,拍照很出片,噶丹松赞林寺、墨石公园景区、松赞林景区,228938424、221517143、215081728、179624169、199379055、193526565、181281570、169978076
71,8,5,非常值得一看,《文成公主》大型史诗剧、噶丹松赞林寺、墨石公园景区、大昭寺、布达拉宫,720504527、680033152、167378018、754076520、754076450、210740783、182562045、669119193
72,7,6,景色不错，有趣好玩，性价比高，总体超赞，,墨石公园景区、康定木格措景区、石卡雪山、纳木措景区、羊卓雍错、鲁朗林海,166872009、165768237、165584717、166074405、166833073、166312246、166369889
73,7,6,非常值得去的地方,南迦巴瓦峰、噶丹松赞林寺、康定木格措景区、松赞林景区、稻城亚丁、雅鲁藏布大峡谷,752948820、804411749、171710958、756304690、689378936、178998450、179447307
74,7,3,值得一看。,噶丹松赞林寺、墨石公园景区、虎跳峡(香格里拉段),642081672、222266101、202793179、202793116、180860816、168825722、787708601
75,7,6,性价比很高,奇林峡风景区、布达拉宫、珠峰景区、纳木措景区、羊卓雍错、虎跳峡(香格里拉段),227709693、169878640、163842649、223931660、180766061、774729761、178074933
76,7,6,不错的体验,《文成公主》大型史诗剧、噶丹松赞林寺、布达拉宫、来古冰川、松赞林景区、虎跳峡(香格里拉段),213127832、227373315、181660949、798954395、717992878、169942637、798956152
77,7,7,【景色】优美 【趣味】超强 【性价比】超高,哈巴雪山、噶丹松赞林寺、普达措国家公园、松赞林景区、独克宗古城-龟山公园、白水台、虎跳峡(香格里拉段),177653508、177527281、177483462、177511312、176123554、177507928、177543604
78,7,7,环境一流，风景绝美，海拔较高，是一生必须去一次的打卡地。,卡若拉冰川、岗巴拉山、扎达布日寺、拉昂错、玛旁雍措、羊卓雍错、色林措,175849148、174435776、174379837、175747379、176191083、174808116、175548347
79,7,5,体验感很好,墨石公园景区、奇林峡风景区、普达措国家公园、来古冰川、羊卓雍错,184569400、183937867、183845719、708756910、673179928、211155995、213702560
80,7,6,值得推荐，体验很好，,《文成公主》大型史诗剧、墨石公园景区、大昭寺、松赞林景区、纳木措圣象天门、羊卓雍错,163533774、164170211、164274410、164840853、164524572、164830959、163947617
81,7,1,很不错的景区，非常值得信赖，公司多次组织来旅游一直都会来这里的，很不错。每次也都会通过携程平台来下单，很方便快捷的特别是名单录入后。,纳木措景区,193615423、193615381、193574795、193574767、193574746、193574732、193574711
82,7,7,值得去的地方,噶丹松赞林寺、布达拉宫、康定木格措景区、普达措国家公园、滇金丝猴国家公园、珠峰景区、稻城亚丁,827148253、171570294、166585692、186366958、175410223、209537980、180949684
83,7,5,景色不错，体验很好，,大昭寺、康定木格措景区、普达措国家公园、梅里雪山国家公园、石卡雪山,163940523、163932951、164433043、163930310、164219928、164645081、164173997
84,7,2,小布达拉宫,噶丹松赞林寺、松赞林景区,207182872、184647513、181187787、174866697、164232292、204552762、166921823
85,7,1,讲解很详细,布达拉宫,223378737、219324393、218869855、215809679、212419852、211937398、166667770
86,7,1,谭导讲解服务非常好,布达拉宫,223200559、222653943、220896082、219843401、219084377、218135779、217493277
87,7,1,景色很美，尤其是天气好的时候 有阳光有云，真是美呆了。如果有无人机，上帝视角会更美。如果四月份来的话，路上桃花也开了，会更超值，还能看到日照金山。,巴松措,207882606、207882452、207882536、207882683、207882494、207882382、207882291
88,7,1,酒店闹中取静，虽在大路边上，但不会嘈杂。房间空间大，洗浴设备不错，有基本的日用洗漱用品提供。服务很好。依依和可乐服务态度优秀，让客人宾至如归，点赞。早餐挺丰富的，水果很新鲜，中西合璧基本满足需求。餐厅环境优雅，吃早饭舒服。会再次选择入住的酒店。各方面条件均不错。,巴松措,181331027、181331048、181331035、181331054、181331025、181331045、181331032
89,7,3,总体超赞，景色不错，,噶丹松赞林寺、墨石公园景区、大昭寺,166921639、166899911、166369325、166252029、166132487、166912138、165144922
90,6,6,地理位置优越，环境优美，值得游览,山南博物馆、日喀则博物馆、班公湖、西藏博物馆、阿里暗夜公园、鲁朗国际旅游小镇,178833598、178958248、174471201、178968684、178881708、178870037
91,6,5,很美的地方,噶丹松赞林寺、巴塘措普沟景区、巴松措、羊卓雍错、香格里拉巴拉格宗风景名胜区,166467884、242515995、190729323、219828855、221309012、798989787
92,6,5,有趣好玩，景色不错，体验很好，值得推荐，,墨石公园景区、大昭寺、巴松措、石卡雪山、香格里拉巴拉格宗风景名胜区,164264160、163760110、163917342、164080345、164010606、164486111
